title,episodes,released_date,end_date,producer_id,rating,studio
Berserk: Ougon Jidai-hen I - Haou no Tamago,TV,2011-02-02,2016-12-02,17,0.59,Studio Live
Capeta,OVA,2015-05-12,2018-06-14,17,4.85,Studio Live
Charlotte,Movie,1998-07-23,2016-11-21,14,9.99,GoHands
City Hunter  91,47,1998-07-26,2016-12-07,2,7.24,GoHands
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,Movie,2003-02-23,2016-09-26,20,9.45,Studio Gokumi
Lupin the IIIrd: Jigen Daisuke no Bohyou,24,2001-07-25,2016-03-27,6,0.8,Nippon Animation
Master Keaton OVA,21,2008-11-02,2016-05-14,7,6.83,Nippon Animation
Mobile Suit Gundam Thunderbolt: December Sky,39,2005-11-27,2016-09-20,7,0.48,Studio Hibari
Nisekoi,19,1999-08-04,2016-09-13,7,7.4,Imagin 
Pokemon XY&amp Z,TV,2013-05-12,2017-08-24,24,1.26,Studio Hibari
To LOVE-Ru Darkness 2nd OVA,OVA,2009-07-23,2016-05-04,12,4.54,GoHands
Yamada-kun to 7-nin no Majo (TV),Movie,1997-09-02,2016-05-17,17,4.73,Studio Nue
Aoi Bungaku Series,TV,2010-10-24,2016-09-12,4,2.92,P.A.Works
Arashi no Yoru ni,Movie,2008-12-05,2016-06-13,11,7.48,Studio Gokumi
Bokura wa Minna Kawaisou,OVA,2016-08-11,2020-10-07,2,0.36,P.A.Works
Chi s Sweet Home: Atarashii Ouchi,2,1997-10-20,2016-08-10,30,0.52,Nippon Animation
Densetsu Kyojin Ideon: Hatsudou-hen,14,2008-06-17,2016-10-01,29,6.09,Studio Live
Ginga Tetsudou 999,44,1996-08-06,2016-04-08,13,9.33,Mushi Production
Hana yori Dango,Movie,2005-11-15,2016-02-28,18,0.85,P.A.Works
Hanasakeru Seishounen,Movie,2002-11-16,2016-09-04,12,2.57,Pierrot 
Hidamari Sketch x 365,TV,2003-07-17,2016-08-24,11,6.84,P.A.Works
Hidamari Sketch x SP,39,2004-01-25,2016-12-28,16,1.3,Studio Live
Ie Naki Ko,Movie,1998-01-22,2016-01-16,28,4.4,Mushi Production
Michiko to Hatchin,TV,2000-05-15,2016-01-05,15,5.23,Anime International Company Inc.
New Initial D Movie: Legend 2 - Tousou,Movie,1997-11-12,2016-06-02,22,7.32,Studio Live
Persona 3 the Movie 2: Midsummer Knight s Dream,OVA,2009-11-13,2016-07-23,4,1.94,Mushi Production
Sexy Commando Gaiden: Sugoiyo!! Masaru-san,42,2001-05-26,2016-01-06,14,9.51,Kyoto Animation 
Tegamibachi Reverse,41,2007-12-01,2016-03-20,27,7.25,Imagin 
Ao Haru Ride,Movie,2000-07-22,2016-10-26,20,9.86,Studio Live
Bishoujo Senshi Sailor Moon S,18,1996-01-17,2016-10-22,28,3.65,Magic Bus
Digimon Adventure,8,2005-07-17,2016-03-22,29,1.08,Nippon Animation
Furiko,OVA,1997-07-26,2016-06-01,29,7.7,Studio Live
Heartcatch Precure!,28,2012-06-15,2016-04-13,20,9.07,Pierrot 
InuYasha,TV,2000-01-11,2016-12-28,18,2.22,Studio Live
InuYasha: Kuroi Tessaiga,16,2001-08-06,2016-06-16,25,8.46,Studio Hibari
InuYasha: Tenka Hadou no Ken,Movie,2006-06-28,2016-06-01,23,1.32,Mushi Production
K-On!!: Keikaku!,TV,1997-02-01,2016-08-09,29,1.45,Anime International Company Inc.
"Kumo no Mukou, Yakusoku no Basho",32,2004-07-07,2016-04-25,8,4.76,Mushi Production
Lupin III vs. Detective Conan,Movie,1999-02-01,2016-06-25,1,4.48,Studio Gokumi
Mobile Suit Gundam,OVA,2003-05-12,2016-02-22,6,9.58,P.A.Works
Mobile Suit Gundam III: Encounters in Space,TV,2009-10-15,2016-07-26,24,0.14,Studio Live
Noragami OVA,Movie,2014-01-14,2017-09-10,29,6.89,P.A.Works
Seitokai Yakuindomo OVA,27,2000-04-14,2016-03-21,28,8.93,GoHands
Urusei Yatsura Movie 2: Beautiful Dreamer,4,1997-12-17,2016-09-06,14,1.87,Studio Gokumi
Yamato Nadeshiko Shichihenge♥,45,2003-02-19,2016-11-20,13,9.12,Imagin 
Another,TV,2015-06-24,2018-05-28,26,6.34,Pierrot 
Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,OVA,2015-03-17,2020-09-09,1,2.63,Studio Ghibli
Ao no Exorcist Movie,36,1997-03-04,2016-10-19,23,3.2,Mushi Production
Arslan Senki (TV),33,2009-02-13,2016-04-18,14,6.39,Magic Bus
Binbougami ga!,Movie,2013-12-23,2016-05-23,2,9.24,Pierrot 
Black Jack,Movie,2016-04-02,2020-05-16,24,1.69,Studio Gokumi
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,1997-08-19,2016-12-06,20,3.22,Studio Hibari
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,32,2016-03-26,2016-01-12,26,6.91,Pierrot 
Hetalia World Series Specials,Movie,2000-04-08,2016-07-18,7,0.72,GoHands
K-On!: Live House!,OVA,2004-03-09,2016-06-20,6,0.73,Studio Gokumi
Kyou kara Maou!,OVA,2005-11-14,2016-11-17,19,8.95,Mushi Production
Kyoukai no Kanata,3,2002-12-15,2016-11-15,22,6.98,Imagin 
Mind Game,TV,2006-10-21,2016-03-21,16,5.39,P.A.Works
Oniisama e...,Movie,2013-01-07,2018-09-26,12,9.06,Anime International Company Inc.
Servamp Specials,41,2002-02-07,2016-07-03,19,4.13,Nippon Animation
Shingeki no Kyojin OVA,12,2006-09-18,2016-03-01,21,5.06,Studio Ghibli
Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,2013-12-17,2016-09-17,14,3.19,Imagin 
The Last: Naruto the Movie,38,2010-03-12,2016-01-18,13,5.89,Nippon Animation
The Law of Ueki,32,2010-07-02,2016-10-15,13,9.25,Studio Gokumi
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,11,2001-07-11,2016-02-14,14,0.72,GoHands
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,TV,1997-09-23,2016-10-20,13,0.86,Pierrot 
Hai to Gensou no Grimgar,Movie,1998-02-25,2016-09-25,7,6.77,Anime International Company Inc.
High School DxD New,OVA,1996-07-08,2016-09-06,21,4.39,Studio Live
Huyao Xiao Hongniang: Yue Hong,45,2012-06-04,2016-03-16,26,0.7,Magic Bus
Jin-Rou,36,2001-04-19,2016-06-11,27,8.1,Studio Live
K-On!,25,2010-11-01,2016-12-21,18,5.5,Anime International Company Inc.
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,TV,2009-06-27,2016-03-24,23,4.41,Nippon Animation
Lucky☆Star,41,2014-01-04,2016-10-05,1,5.9,Magic Bus
Mobile Suit Gundam Wing,11,2007-01-24,2016-03-05,4,1.29,Studio Gokumi
Mobile Suit Gundam Wing: Endless Waltz,OVA,2000-04-13,2016-02-06,18,0.04,Imagin 
Piano no Mori,Movie,2004-03-27,2016-10-25,11,6.65,Mushi Production
Ranma ½,Movie,2001-07-04,2016-11-09,2,3.47,Studio Live
Ranma ½ OVA,26,1998-11-09,2016-11-13,23,1.48,Nippon Animation
Sidonia no Kishi,Movie,2004-06-01,2016-03-04,11,6.72,Studio Hibari
Slayers,33,2011-04-01,2016-08-09,23,8.78,Anime International Company Inc.
Sora no Otoshimono: Tokeijikake no Angeloid,41,1999-03-06,2016-10-03,29,6.35,Anime International Company Inc.
Soukou Kihei Votoms,Movie,2014-12-14,2016-02-01,15,6.54,Studio Nue
Tantei Gakuen Q,OVA,2007-02-28,2016-04-09,25,0.35,Studio Ghibli
Toaru Kagaku no Railgun,42,2012-08-20,2016-10-01,5,0.24,Imagin 
Uchuu Kaizoku Captain Harlock,Movie,2000-07-10,2016-04-27,21,3.4,Studio Live
Watashi no Ashinaga Ojisan,Movie,1998-03-27,2016-04-27,9,3.62,Imagin 
Break Blade 2: Ketsubetsu no Michi,TV,1996-08-11,2016-12-01,21,4.32,Magic Bus
Chibi Maruko-chan,TV,1997-12-15,2016-06-03,7,7.01,Studio Nue
Detective Conan Movie 16: The Eleventh Striker,40,2006-04-24,2016-12-24,27,8.8,Studio Nue
Genshiken 2,46,1998-01-04,2016-08-05,2,0.77,Anime International Company Inc.
Giovanni no Shima,6,2003-07-19,2016-12-12,28,7.7,Anime International Company Inc.
Hellsing I: Digest for Freaks,TV,2003-05-16,2016-04-23,15,1.45,Studio Hibari
Kuroko no Basket: Mou Ikkai Yarimasen ka,42,2003-11-04,2016-03-24,12,9.61,Studio Nue
Macross F: Close Encounter - Deculture Edition,18,2005-08-05,2016-10-23,8,3.39,Mushi Production
Non Non Biyori Repeat OVA,32,1996-11-05,2016-12-16,1,8.34,Studio Live
Nurarihyon no Mago OVA,Movie,2015-07-21,2016-07-27,11,2.9,Studio Ghibli
One Piece: Episode of Luffy - Hand Island no Bouken,39,2016-01-13,2021-06-16,11,2.37,Nippon Animation
One Punch Man Specials,16,2001-06-08,2016-11-19,22,0.31,Studio Hibari
Seikai no Senki,7,2011-11-02,2016-04-11,18,6.31,Mushi Production
Sora no Otoshimono: Forte,14,1998-10-12,2016-10-15,14,4.48,Magic Bus
Space☆Dandy,Movie,2014-02-10,2018-01-06,14,2.4,Studio Nue
Arakawa Under the Bridge x Bridge,OVA,2001-07-18,2016-10-02,10,3.02,Magic Bus
Detective Conan Movie 10: Promo Special,13,2002-10-10,2016-07-18,17,6.48,Kyoto Animation 
Elfen Lied,8,2008-05-01,2016-12-05,30,1.31,Magic Bus
Hachimitsu to Clover Specials,33,2014-05-20,2018-09-07,24,1.17,Kyoto Animation 
Hello! Lady Lynn,TV,2002-03-19,2016-05-23,4,9.36,Magic Bus
Kami nomi zo Shiru Sekai: Tenri-hen,TV,2007-09-23,2016-09-15,13,4.18,Studio Live
Kimi to Boku.,Movie,2008-03-06,2016-12-02,20,2.26,Pierrot 
Mahou Sensei Negima! Mou Hitotsu no Sekai,37,2015-06-22,2018-03-01,24,7.09,Studio Live
Maria-sama ga Miteru: Haru,OVA,2013-10-20,2017-04-09,20,1.84,Studio Ghibli
Mobile Suit Gundam 0080: War in the Pocket,OVA,1998-01-11,2016-12-26,16,3.93,Magic Bus
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,15,2001-06-27,2016-03-11,2,5.96,Imagin 
Nanatsu no Taizai OVA,OVA,2001-08-04,2016-11-11,25,6.38,Anime International Company Inc.
One Punch Man: Road to Hero,1,2007-10-09,2016-05-21,20,7.77,P.A.Works
Romeo x Juliet,Movie,2011-05-01,2016-09-04,1,7.76,Mushi Production
School Rumble Ichi Gakki Hoshuu,32,2002-02-19,2016-06-03,24,4.9,Pierrot 
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,OVA,2016-06-23,2020-06-24,29,6.3,Nippon Animation
Ajin Part 1: Shoudou,OVA,2006-08-22,2016-07-01,21,7.24,Magic Bus
Akame ga Kill!,TV,2006-04-25,2016-07-12,10,3.38,Magic Bus
AKB0048: Next Stage,Movie,2016-05-09,2018-12-03,13,6.92,Mushi Production
Change!! Getter Robo: Sekai Saigo no Hi,Movie,2009-12-24,2016-06-17,20,8.7,Studio Live
Death Note Rewrite,12,2009-05-06,2016-01-16,22,8.53,Studio Nue
Detective Conan Movie 17: Private Eye in the Distant Sea,46,2003-04-23,2016-07-08,6,1.02,Studio Gokumi
Hakuouki Sekkaroku,42,2013-05-06,2016-08-28,27,4.62,Anime International Company Inc.
Hoozuki no Reitetsu,Movie,2010-02-09,2016-12-03,17,2.87,Magic Bus
Kuroko no Basket NG-shuu,29,2000-08-22,2016-04-28,10,2.86,Studio Gokumi
Memories,Movie,2016-04-23,2021-07-23,19,7.65,Mushi Production
Naruto: Shippuuden Movie 6 - Road to Ninja,39,2005-11-08,2016-02-15,7,2.71,Kyoto Animation 
Owari no Seraph: Nagoya Kessen-hen,21,2016-02-18,2016-06-14,28,0.87,Magic Bus
Seikai no Senki III,Movie,2010-01-02,2016-05-24,29,8.76,Studio Nue
Seitokai Yakuindomo*,14,1997-12-19,2016-02-27,20,1.5,Magic Bus
Space Cobra,24,2014-07-20,2017-09-06,7,4.08,Pierrot 
Toaru Majutsu no Index II,30,2002-09-24,2016-02-11,15,7.41,Studio Ghibli
Tsuritama,39,2013-12-14,2017-02-25,6,2.2,Studio Gokumi
Yowamushi Pedal Movie,17,2014-07-14,2019-12-28,13,3.59,Studio Nue
Yuru Yuri Nachuyachumi!+,34,2010-11-12,2016-05-27,30,9.78,Anime International Company Inc.
Baka to Test to Shoukanjuu,TV,1996-08-18,2016-12-25,25,9.71,Pierrot 
Chi s Sweet Home,TV,2008-07-07,2016-12-21,4,3.68,Imagin 
Densetsu no Yuusha no Densetsu,Movie,2005-03-28,2016-12-26,4,1.42,Mushi Production
Fairy Tail OVA,32,2013-03-09,2016-05-05,16,5.95,Studio Gokumi
Ichigo Mashimaro OVA,TV,2016-11-25,2018-04-13,16,9.65,Studio Live
Kingsglaive: Final Fantasy XV,47,2003-06-08,2016-04-27,22,5.32,Studio Gokumi
Mobile Police Patlabor 2: The Movie,TV,2002-08-28,2016-06-26,24,4.6,Imagin 
Persona 3 the Movie 1: Spring of Birth,30,2011-02-23,2016-03-20,3,4.43,Mushi Production
Rozen Maiden: Ouvertüre,16,2008-12-19,2016-01-18,11,3.77,Nippon Animation
Seikai no Monshou,43,1997-10-20,2016-02-24,3,9.84,Kyoto Animation 
Shaman King,Movie,1997-01-20,2016-05-22,8,3.65,Pierrot 
Sword Art Online,Movie,2014-10-18,2018-04-04,16,0.53,Studio Ghibli
Tetsuwan Birdy Decode:02,5,1997-12-01,2016-02-16,11,2.3,P.A.Works
Bishoujo Senshi Sailor Moon Crystal Season III,41,2015-09-20,2019-01-06,26,6.09,Pierrot 
Bokurano,OVA,2008-04-10,2016-09-28,16,4.88,Studio Gokumi
Bounen no Xamdou,Movie,1997-01-21,2016-04-10,21,5.6,Pierrot 
Break Blade 6: Doukoku no Toride,12,2013-04-10,2018-03-04,16,0.88,Pierrot 
Detective Conan: Conan vs. Kid - Shark &amp  Jewel,TV,2000-06-09,2016-06-12,24,4.31,Studio Nue
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,47,2009-01-06,2016-08-07,27,5.87,Mushi Production
Hakkenden: Touhou Hakken Ibun 2nd Season,OVA,2012-02-13,2016-12-23,17,8.14,Studio Gokumi
Hidamari Sketch x 365 Specials,35,2002-01-07,2016-12-13,29,6.91,Studio Hibari
K: Return of Kings,Movie,2016-03-19,2017-08-16,18,3.7,Pierrot 
Kill la Kill Special,36,2003-06-22,2016-04-20,14,0.76,Pierrot 
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),12,2015-07-26,2017-11-27,3,4.78,Studio Hibari
Macross Plus,3,2012-10-13,2016-02-27,26,4.34,Studio Gokumi
Macross Plus Movie Edition,TV,1996-06-03,2016-10-19,25,5.11,Studio Nue
Mitsudomoe Zouryouchuu!,Movie,2009-06-03,2016-04-16,18,6.84,Nippon Animation
Prince of Tennis: Another Story - Messages From Past and Future,22,2001-03-05,2016-01-24,8,9.01,Studio Ghibli
Saint Seiya: Meiou Hades Elysion-hen,34,2013-05-22,2016-10-11,8,2.65,Studio Ghibli
To LOVE-Ru Darkness,10,2010-04-10,2016-11-17,10,7.92,P.A.Works
To LOVE-Ru Darkness OVA,3,2006-07-22,2016-01-03,28,4.39,Studio Ghibli
Working!!,Movie,2005-03-18,2016-09-02,3,4.78,Studio Live
Yume-iro Pâtissière SP Professional,2,2016-01-04,2021-05-15,19,6.46,GoHands
Daa! Daa! Daa!,28,2004-11-19,2016-07-10,23,1.97,GoHands
Digimon Adventure: Bokura no War Game!,16,2014-11-03,2016-10-13,23,7.81,Studio Nue
Eikoku Koi Monogatari Emma,46,2012-04-28,2016-05-11,17,5.91,Magic Bus
Full Metal Panic!,Movie,2015-05-17,2020-07-04,10,8.44,Studio Nue
Guilty Crown,OVA,2016-03-15,2020-12-05,9,5.84,Imagin 
Hoshi wo Ou Kodomo,Movie,2015-02-26,2017-04-11,7,4.46,Studio Nue
"Ima, Soko ni Iru Boku",TV,1996-12-25,2016-07-14,6,2.27,P.A.Works
Jigoku Shoujo Mitsuganae,TV,2000-11-14,2016-05-19,18,7.06,Magic Bus
Kara no Kyoukai 1: Fukan Fuukei,OVA,1997-01-01,2016-09-20,12,9.74,Kyoto Animation 
Kimagure Orange☆Road: Ano Hi ni Kaeritai,OVA,2012-06-11,2016-11-20,2,9.45,Studio Nue
Kono Subarashii Sekai ni Shukufuku wo! OVA,44,2002-05-09,2016-08-19,26,0.2,Magic Bus
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,38,2013-08-24,2016-11-01,17,5.93,Imagin 
Lupin the Third: Mine Fujiko to Iu Onna,5,1996-12-03,2016-08-22,19,2.2,Mushi Production
Minami-ke,Movie,2001-11-04,2016-12-19,19,7.53,Studio Nue
Mobile Suit Gundam: Char s Counterattack,40,2006-02-06,2016-05-16,16,1.19,Studio Live
Naruto,TV,2002-02-27,2016-01-13,13,7.21,Pierrot 
New Game!,OVA,1997-12-22,2016-11-23,19,8.61,P.A.Works
Shigatsu wa Kimi no Uso: Moments,Movie,2012-12-10,2017-09-02,25,0.55,Studio Nue
Top wo Nerae 2! Diebuster,0,1996-06-18,2016-04-21,28,7.59,Studio Gokumi
Baka to Test to Shoukanjuu: Matsuri,Movie,2006-11-05,2016-08-02,26,5.12,Nippon Animation
Blood+,OVA,1996-06-27,2016-06-03,9,9.28,Studio Live
Chrno Crusade,47,2009-01-24,2016-05-03,6,6.56,Magic Bus
Free!: FrFr - Short Movie,14,2009-01-13,2016-01-12,7,2.51,Mushi Production
Fruits Basket,4,2008-03-21,2016-04-10,14,8.01,Nippon Animation
Gakuen Alice,TV,2015-02-11,2016-10-27,9,5.92,Magic Bus
Haikyuu!! Movie 2: Shousha to Haisha,TV,1998-12-15,2016-08-12,11,6.17,Kyoto Animation 
Hourou Musuko,Movie,2005-09-24,2016-05-24,1,3.94,Nippon Animation
Huyao Xiao Hongniang: Wangquan Fugui,OVA,2006-06-19,2016-12-18,2,2.1,Studio Ghibli
Shoukoujo Sara,3,1998-04-13,2016-03-16,25,0.86,Studio Hibari
Soredemo Sekai wa Utsukushii,47,2015-10-26,2016-03-20,16,3.44,P.A.Works
Tenkuu no Escaflowne,OVA,2007-02-03,2016-06-18,25,0.66,GoHands
The Disappearance of Conan Edogawa: The Worst Two Days in History,29,2014-08-12,2018-01-01,18,0.68,Pierrot 
To LOVE-Ru Darkness 2nd,TV,1997-12-12,2016-05-17,21,9.77,Studio Live
Tokyo Ravens,32,2004-08-02,2016-04-01,20,2.14,P.A.Works
Aikatsu! Movie,TV,2013-06-21,2018-03-23,24,9.7,Nippon Animation
Angel Beats! Specials,39,1998-02-25,2016-02-02,19,2.07,Nippon Animation
Aria The Animation,14,2002-02-13,2016-11-10,27,9.62,Studio Hibari
Break Blade 1: Kakusei no Toki,22,2002-06-23,2016-12-21,11,7.97,Studio Hibari
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7,2008-03-16,2016-12-10,5,5.82,P.A.Works
Denpa-teki na Kanojo,OVA,2007-09-22,2016-06-24,19,7.78,Studio Live
Dragon Quest: Dai no Daibouken,OVA,2006-10-25,2016-07-04,8,1.03,Pierrot 
Higashi no Eden Soushuuhen: Air Communication,Movie,2009-06-01,2016-08-02,6,9.12,Studio Nue
Ichigo Mashimaro Encore,OVA,2015-02-02,2016-08-13,20,1.84,P.A.Works
Inu x Boku SS Special,Movie,2011-02-09,2016-07-28,5,8.99,Imagin 
Jigoku Shoujo,Movie,2015-08-06,2016-06-21,2,4.5,Mushi Production
New Initial D Movie: Legend 3 - Mugen,OVA,2011-12-09,2016-12-24,24,6.03,Magic Bus
Nobunaga Concerto,Movie,2011-11-03,2016-01-26,20,1.74,Magic Bus
Panty &amp  Stocking with Garterbelt,12,2008-06-23,2016-07-19,11,7.4,P.A.Works
Poyopoyo Kansatsu Nikki,21,2009-01-28,2016-12-05,6,5.32,P.A.Works
Pretty Rhythm: Rainbow Live,OVA,2007-09-06,2016-11-11,30,1.1,Studio Hibari
Ranma ½ Super,TV,1999-01-10,2016-06-10,15,8.87,Kyoto Animation 
Servant x Service,TV,1996-03-03,2016-10-06,5,2.93,Studio Live
Shakugan no Shana II (Second),31,1999-09-13,2016-03-11,3,0.06,GoHands
Tales of Vesperia: The First Strike,27,1998-04-18,2016-06-28,17,6.5,Magic Bus
Toaru Hikuushi e no Tsuioku,OVA,2014-03-06,2019-01-26,16,7.57,GoHands
Towa no Quon 6: Towa no Quon,13,2009-03-02,2016-06-10,1,2.59,Studio Hibari
Ajin,15,2015-07-04,2020-03-03,19,3.79,GoHands
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",37,2008-07-27,2016-07-08,16,1.4,Pierrot 
Bishoujo Senshi Sailor Moon R: The Movie,40,2014-08-03,2016-10-03,24,6.49,GoHands
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion,41,2004-11-15,2016-07-27,4,1.49,Studio Live
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,OVA,2010-07-20,2016-08-14,30,4.63,Anime International Company Inc.
Ga-Rei: Zero,12,2001-08-25,2016-08-11,20,5.37,Studio Ghibli
Higashi no Eden Movie II: Paradise Lost,Movie,2010-05-23,2016-08-10,12,8.22,Studio Hibari
Jungle wa Itsumo Hare nochi Guu Final,14,2008-08-24,2016-10-14,19,4.46,Studio Gokumi
Kore wa Zombie Desu ka? of the Dead,OVA,2014-10-09,2016-01-04,2,9.5,GoHands
Kyoukai no Kanata: Shinonome,8,2004-10-20,2016-03-11,1,3.49,Pierrot 
Lupin III: Episode 0 &quot First Contact&quot ,30,1997-08-26,2016-03-23,16,8.58,Studio Nue
Minami-ke Tadaima,OVA,2016-08-02,2017-01-19,10,6.71,Nippon Animation
Momo e no Tegami,38,2011-07-01,2016-01-17,3,8.03,Studio Gokumi
Nurarihyon no Mago,13,1998-01-24,2016-09-16,8,0.39,Anime International Company Inc.
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,29,2000-03-05,2016-01-24,12,4.4,Studio Gokumi
Orange,27,2016-06-08,2018-10-12,10,1.01,Pierrot 
Over Drive,OVA,2011-02-14,2016-10-02,5,6.63,Kyoto Animation 
R.O.D OVA,4,1999-08-12,2016-11-02,27,5.48,Studio Live
Rakudai Kishi no Cavalry,Movie,2015-03-16,2018-07-05,2,9.93,Studio Hibari
Ranma ½ Specials,TV,1996-01-08,2016-07-15,27,6.87,Studio Live
Rozen Maiden: Träumend,OVA,1998-03-22,2016-04-17,6,6.93,GoHands
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,OVA,2007-12-16,2016-02-11,1,1.41,GoHands
Special A,23,2012-05-27,2016-11-23,3,0.17,GoHands
Tenchi Muyou! Ryououki 2nd Season,11,1999-03-20,2016-04-23,28,9.68,Pierrot 
Texhnolyze,OVA,2012-02-10,2016-05-21,29,0.47,Imagin 
Urusei Yatsura,21,2009-04-10,2016-07-26,27,3.49,P.A.Works
Utawarerumono,Movie,2008-12-11,2016-01-13,24,9.16,Kyoto Animation 
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,OVA,2011-12-14,2016-04-18,15,1.92,Studio Ghibli
Black Jack 21,44,2005-03-27,2016-01-02,11,8.26,Studio Nue
Digimon Adventure tri. 2: Ketsui,TV,2012-08-19,2016-10-17,6,5.25,Pierrot 
Fushigi Yuugi,TV,2002-08-11,2016-10-16,11,5.56,Studio Nue
Ichigo Mashimaro,7,2004-09-12,2016-04-05,14,6.53,Nippon Animation
JoJo no Kimyou na Bouken: Phantom Blood,25,2011-11-20,2016-07-12,17,6.46,Studio Live
Koyomimonogatari,OVA,2011-05-07,2016-07-23,29,3.62,Studio Hibari
Mobile Suit Gundam 00 Special Edition,Movie,1998-07-15,2016-02-11,2,1.05,Mushi Production
Ojamajo Doremi Na-i-sho,OVA,2008-02-17,2016-02-06,20,7.17,Studio Gokumi
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,Movie,2014-11-21,2018-11-01,17,7.2,GoHands
Sengoku Basara Movie: The Last Party,46,2014-08-14,2017-12-03,8,5.2,Pierrot 
Shingeki no Bahamut: Genesis,35,1998-07-13,2016-10-02,18,4.7,Nippon Animation
Tenchi Muyou! Ryououki,19,1996-02-14,2016-01-25,21,9.09,Studio Nue
Tonari no Kaibutsu-kun,Movie,2013-07-08,2017-07-21,5,3.69,Anime International Company Inc.
Zero no Tsukaima F,TV,2011-05-22,2016-08-23,12,1.04,Mushi Production
Ao Haru Ride OVA,9,2004-01-23,2016-10-08,29,7.65,Studio Hibari
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,TV,2013-05-11,2016-12-09,2,1.35,Imagin 
Bokura wa Minna Kawaisou: Hajimete no,34,2006-08-08,2016-12-24,6,9.94,Nippon Animation
Bungou Stray Dogs,41,2015-03-27,2020-07-27,15,2.58,Mushi Production
Detective Conan Movie 19: The Hellfire Sunflowers,23,2005-07-16,2016-03-28,19,9.93,Studio Live
Doraemon (1979),Movie,2012-09-28,2016-10-14,11,0.27,Magic Bus
Genshiken,OVA,2014-01-23,2016-05-25,5,3.32,Studio Gokumi
Ginga Tetsudou 999 (Movie),16,2003-10-15,2016-12-28,15,7.76,Kyoto Animation 
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,TV,2015-06-15,2019-06-25,8,4.51,Pierrot 
Hakuouki Hekketsuroku,47,2012-02-22,2017-05-15,7,6.57,Studio Ghibli
Hetalia Axis Powers,OVA,2001-04-04,2016-03-27,27,0.51,Kyoto Animation 
Itazura na Kiss,0,1999-06-27,2016-12-06,21,1.86,P.A.Works
Lupin III,Movie,2004-10-21,2016-10-10,5,3.51,Anime International Company Inc.
Mahouka Koukou no Rettousei,TV,1997-10-03,2016-02-06,25,5.85,Studio Ghibli
Majin Tantei Nougami Neuro,18,1998-02-16,2016-05-17,12,8.88,Magic Bus
Master Keaton,Movie,1999-12-19,2016-07-24,29,5.05,Imagin 
No.6,35,1998-06-03,2016-12-02,29,3.42,Imagin 
One Piece Movie 4: Dead End no Bouken,TV,2007-10-01,2016-06-13,12,5.39,Magic Bus
Senjou no Valkyria,18,2006-10-19,2016-03-17,4,3.18,Studio Nue
Tegamibachi,TV,2012-07-25,2016-08-25,3,4.49,Imagin 
Towa no Quon 4: Guren no Shoushin,Movie,2008-02-27,2016-01-03,6,1.86,Studio Hibari
Turn A Gundam,43,1998-07-28,2016-11-10,11,3.48,Kyoto Animation 
Bleach Movie 4: Jigoku-hen,11,2012-02-02,2016-03-21,13,6.44,GoHands
D-Frag!,47,2007-10-04,2016-02-10,5,3.82,Studio Nue
Detective Conan Movie 09: Promo Special,40,2011-01-22,2016-04-21,4,0.81,Imagin 
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,Movie,2016-01-20,2019-04-12,15,8.9,Anime International Company Inc.
Go! Princess Precure,8,2004-06-01,2016-12-18,17,9.52,Magic Bus
Hayate no Gotoku!,21,2006-10-04,2016-11-17,20,0.34,Nippon Animation
InuYasha: Kagami no Naka no Mugenjo,41,2003-10-17,2016-09-18,30,5.09,GoHands
Kanojo to Kanojo no Neko: Everything Flows,8,2012-12-19,2016-10-20,19,8.07,Magic Bus
Kara no Kyoukai Remix: Gate of Seventh Heaven,OVA,2013-10-14,2017-10-04,14,7.09,Anime International Company Inc.
Kino no Tabi: The Beautiful World - Tou no Kuni,27,2000-04-10,2016-07-02,6,2.19,Mushi Production
